,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.7934715151786804,0.7928590178489685,2465.0,13236.0,13354.3505859375
Beneixama,0.9486895799636841,0.616815447807312,1476.0,4079.0,4411.830078125
Beniarda,0.5167678594589233,0.9998652935028076,31388.0,3950.0,3971.54052734375
Bolulla,0.8420717716217041,0.7109116315841675,10400.0,55.0,165.0099639892578
Carcaixent,0.8632379174232483,0.7225595116615295,1032.0,8007.0,8006.2099609375
Chella,0.8057048320770264,0.8026723861694336,315.0,12937.0,12956.69140625
Gatova,0.8081878423690796,0.7882381081581116,1447.0,11244.0,11499.759765625
Llutxent,0.8522763252258301,0.7272366881370544,2290.0,7933.0,8193.9501953125
Montan,0.740601658821106,0.8655617833137512,5225.0,12780.0,12770.150390625
ValldEbo,0.7289133667945862,0.8291276693344116,13026.0,6423.0,6240.7294921875
VallGallinera,0.810897946357727,0.7832782864570618,1176.0,13219.0,13887.388671875
Total,0.7918927832083269,0.7853750749067827,6385.454545454545,8533.0,8677.964639837091
