,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9635270833969116,0.5881878137588501,2465.0,82.0,82.78999328613281
Beneixama,0.9798179864883423,0.5720749497413635,1476.0,143.0,149.8699951171875
Beniarda,0.5251706838607788,1.026017189025879,31388.0,60.0,58.959999084472656
Bolulla,0.84210205078125,0.7095580101013184,10400.0,53.0,54.37999725341797
Carcaixent,0.9839967489242554,0.5675737857818604,1032.0,31.0,32.659996032714844
Chella,0.9711729288101196,0.5842294096946716,315.0,1607.0,1557.2099609375
Gatova,0.977274477481842,0.574489176273346,1447.0,58.0,66.97000122070312
Llutxent,0.9651016592979431,0.5860286355018616,2290.0,97.0,101.11000061035156
Montan,0.9212554097175598,0.6302365064620972,5225.0,24.0,26.17999839782715
ValldEbo,0.7927447557449341,0.7560371160507202,13026.0,1267.0,1320.070068359375
VallGallinera,0.9819527864456177,0.5694634914398193,1176.0,37.0,48.249996185302734
Total,0.9003742337226868,0.6512632803483442,6385.454545454545,314.45454545454544,318.04090968045324
