,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.7892322540283203,0.8008377552032471,2465.0,13065.0,13135.9794921875
Beneixama,0.9258126616477966,0.649027407169342,1476.0,5851.0,6095.52001953125
Beniarda,0.5215824842453003,1.00570547580719,31388.0,2419.0,2415.509765625
Bolulla,0.8410271406173706,0.7310643196105957,10400.0,128.0,1633.2698974609375
Carcaixent,0.8656452298164368,0.7120901346206665,1032.0,7848.0,7663.56982421875
Chella,0.8035398125648499,0.8062537312507629,315.0,12909.0,13210.4296875
Gatova,0.6966948509216309,0.9237701892852783,1447.0,18593.0,18383.19921875
Llutxent,0.7593453526496887,0.8287034630775452,2290.0,13996.0,13515.669921875
Montan,0.842616856098175,0.7419661283493042,5225.0,5909.0,6846.1298828125
ValldEbo,0.6726521253585815,0.9006408452987671,13026.0,10981.0,10960.109375
VallGallinera,0.5575405955314636,1.0648114681243896,1176.0,29953.0,29136.05078125
Total,0.752335396679965,0.833170083436099,6385.454545454545,11059.272727272728,11181.403442382812
