,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9635422229766846,0.5881786346435547,2465.0,83.0,83.50999450683594
Beneixama,0.9796817302703857,0.5720734000205994,1476.0,134.0,149.45999145507812
Beniarda,0.5251706838607788,1.0260261297225952,31388.0,58.0,58.429996490478516
Bolulla,0.84210205078125,0.7095641493797302,10400.0,53.0,54.93000030517578
Carcaixent,0.9840118885040283,0.5675405263900757,1032.0,30.0,30.860002517700195
Chella,0.9720358848571777,0.5831438899040222,315.0,1552.0,1502.739990234375
Gatova,0.977274477481842,0.5744742751121521,1447.0,58.0,65.84000396728516
Llutxent,0.9651167988777161,0.5860598087310791,2290.0,101.0,100.0
Montan,0.9212554097175598,0.6302365064620972,5225.0,24.0,26.17999839782715
ValldEbo,0.7968175411224365,0.7534821629524231,13026.0,678.0,709.9599609375
VallGallinera,0.9819376468658447,0.5694360733032227,1176.0,34.0,43.34000015258789
Total,0.9008133032105186,0.6509286869655956,6385.454545454545,255.0,256.8409035422585
