,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9636027812957764,0.5881451964378357,2465.0,79.0,83.25999450683594
Beneixama,0.9796817302703857,0.5720701217651367,1476.0,134.0,149.1999969482422
Beniarda,0.5251706838607788,1.0260140895843506,31388.0,59.0,59.13999938964844
Bolulla,0.8418900966644287,0.7098937630653381,10400.0,67.0,74.06999969482422
Carcaixent,0.9839967489242554,0.567606508731842,1032.0,31.0,34.369998931884766
Chella,0.9706278443336487,0.5848961472511292,315.0,1643.0,1595.800048828125
Gatova,0.9771987199783325,0.5746626257896423,1447.0,63.0,79.44998931884766
Llutxent,0.965147078037262,0.5860763788223267,2290.0,99.0,105.52000427246094
Montan,0.9212705492973328,0.6302164793014526,5225.0,25.0,27.84000015258789
ValldEbo,0.7891565561294556,0.7599461078643799,13026.0,1613.0,1686.68994140625
VallGallinera,0.9819679260253906,0.5694310665130615,1176.0,31.0,46.029998779296875
Total,0.8999737013470043,0.6517234986478632,6385.454545454545,349.45454545454544,358.30636111172765
