,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.8765159249305725,0.6784528493881226,2465.0,6554.0,5966.3095703125
Beneixama,0.9718844890594482,0.5887237787246704,1476.0,2633.0,2728.0400390625
Beniarda,0.5251706838607788,1.0137406587600708,31388.0,984.0,1042.8800048828125
Bolulla,0.84210205078125,0.7103505730628967,10400.0,53.0,121.21997833251953
Carcaixent,0.932217001914978,0.6297293901443481,1032.0,3451.0,3367.52978515625
Chella,0.8365001678466797,0.7612901329994202,315.0,10651.0,10776.8896484375
Gatova,0.828460693359375,0.758720338344574,1447.0,9887.0,9984.58984375
Llutxent,0.8787567019462585,0.6987378597259521,2290.0,6079.0,6660.4296875
Montan,0.884903609752655,0.6923219561576843,5225.0,2901.0,4107.10009765625
ValldEbo,0.7402080297470093,0.8206360936164856,13026.0,5557.0,5725.4404296875
VallGallinera,0.9343668818473816,0.6466730833053589,1176.0,5064.0,6301.08984375
Total,0.8410078395496715,0.7272160649299622,6385.454545454545,4892.181818181818,5161.956266229803
