,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9480991363525391,0.6120128035545349,2465.0,1363.0,1814.2799072265625
Beneixama,0.9847385883331299,0.5698277950286865,1476.0,1046.0,1092.4600830078125
Beniarda,0.5251706838607788,1.0176622867584229,31388.0,615.0,698.9099731445312
Bolulla,0.84210205078125,0.7095428705215454,10400.0,53.0,53.26000213623047
Carcaixent,0.96372389793396,0.5912727117538452,1032.0,1370.0,1369.550048828125
Chella,0.9151085019111633,0.6563969254493713,315.0,5360.0,5346.3701171875
Gatova,0.9340186715126038,0.6275495290756226,1447.0,2915.0,2978.080078125
Llutxent,0.9530197381973267,0.6017954349517822,2290.0,1130.0,1342.2900390625
Montan,0.9052672982215881,0.6597656011581421,5225.0,1530.0,2225.130126953125
ValldEbo,0.7912912964820862,0.7573423385620117,13026.0,1370.0,1400.9600830078125
VallGallinera,0.9817408323287964,0.5713479518890381,1176.0,537.0,659.0999755859375
Total,0.8858436996286566,0.6704105680639093,6385.454545454545,1571.7272727272727,1725.490039478649
