,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.31338855624198914,1.397868037223816,2465.0,47598.0,45660.87109375
Beneixama,0.7786189317703247,0.8196149468421936,1476.0,15627.0,16074.9306640625
Beniarda,0.44155097007751465,1.058866262435913,31388.0,12532.0,12792.0703125
Bolulla,0.8406031727790833,0.7345128059387207,10400.0,160.0,1816.2099609375
Carcaixent,0.7906251549720764,0.8192886710166931,1032.0,12803.0,12809.87890625
Chella,0.758739709854126,0.8660981059074402,315.0,16081.0,16226.0400390625
Gatova,0.7251737117767334,0.8941051363945007,1447.0,16824.0,16755.689453125
Llutxent,0.6898666024208069,0.9633015990257263,2290.0,18598.0,21042.529296875
Montan,0.7312752604484558,0.8810231685638428,5225.0,13656.0,13645.8212890625
ValldEbo,0.6663386225700378,0.9112403392791748,13026.0,11391.0,11322.349609375
VallGallinera,0.49737316370010376,1.1363433599472046,1176.0,33927.0,32098.41015625
Total,0.6575958051464774,0.9529329484159296,6385.454545454545,18108.81818181818,18204.072798295456
