,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9647534489631653,0.6123669743537903,2465.0,352.0,2073.8798828125
Beneixama,0.9149571061134338,0.6634007096290588,1476.0,6448.0,6608.6201171875
Beniarda,0.5251706838607788,1.0238585472106934,31388.0,87.0,204.79000854492188
Bolulla,0.8408908247947693,0.7277076244354248,10400.0,137.0,1384.550048828125
Carcaixent,0.9805901646614075,0.5725627541542053,1032.0,256.0,315.76995849609375
Chella,0.8131084442138672,0.790448784828186,315.0,12261.0,12374.3896484375
Gatova,0.7040530443191528,0.91457599401474,1447.0,18106.0,17867.1484375
Llutxent,0.8172720074653625,0.7692070603370667,2290.0,10119.0,10167.8291015625
Montan,0.9213916659355164,0.6295867562294006,5225.0,33.0,75.489990234375
ValldEbo,0.6664597392082214,0.91036057472229,13026.0,11268.0,11237.259765625
VallGallinera,0.8572574853897095,0.7492344975471497,1176.0,10108.0,12070.0107421875
Total,0.8187186013568531,0.7603009343147278,6385.454545454545,6288.636363636364,6761.794336492365
