,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9068570137023926,0.6467598080635071,2465.0,4375.0,3873.97998046875
Beneixama,0.9827249646186829,0.5728744268417358,1476.0,1308.0,1424.6099853515625
Beniarda,0.5249738693237305,1.003973364830017,31388.0,2061.0,2062.610107421875
Bolulla,0.84210205078125,0.709602415561676,10400.0,53.0,57.8699951171875
Carcaixent,0.9335342049598694,0.6312827467918396,1032.0,3364.0,3366.05029296875
Chella,0.8986055850982666,0.6821892261505127,315.0,6533.0,6684.7900390625
Gatova,0.9229814410209656,0.6418724060058594,1447.0,3644.0,3714.2001953125
Llutxent,0.9346091747283936,0.619812548160553,2290.0,2368.0,2333.10009765625
Montan,0.753349781036377,0.8447588682174683,5225.0,11932.0,11863.3798828125
ValldEbo,0.7899589538574219,0.759063184261322,13026.0,1497.0,1560.929931640625
VallGallinera,0.9781222939491272,0.5778695344924927,1176.0,821.0,1143.7900390625
Total,0.8607108484614979,0.6990962299433622,6385.454545454545,3450.5454545454545,3462.300958806818
