,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9646928906440735,0.5998564958572388,2465.0,278.0,1173.39990234375
Beneixama,0.9714757204055786,0.5898140072822571,1476.0,2547.0,2600.760009765625
Beniarda,0.5251706838607788,1.0250197649002075,31388.0,73.0,125.02999877929688
Bolulla,0.84210205078125,0.7107738852500916,10400.0,53.0,155.96998596191406
Carcaixent,0.9821798801422119,0.5704478025436401,1032.0,151.0,198.92996215820312
Chella,0.8496419191360474,0.7437476515769958,315.0,9768.0,9869.91015625
Gatova,0.8619207143783569,0.7151364684104919,1447.0,7677.0,7694.0390625
Llutxent,0.9117170572280884,0.6469317674636841,2290.0,3862.0,3909.98974609375
Montan,0.9212856888771057,0.6301180720329285,5225.0,26.0,56.24998092651367
ValldEbo,0.7385123372077942,0.8212376236915588,13026.0,5765.0,5807.5400390625
VallGallinera,0.9728989005088806,0.5954360365867615,1176.0,2010.0,2878.97998046875
Total,0.8674179857427423,0.695319961417805,6385.454545454545,2928.181818181818,3133.708984028209
