,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.918060839176178,0.63493812084198,2465.0,3484.0,3135.7998046875
Beneixama,0.984693169593811,0.5694231986999512,1476.0,1082.0,1126.179931640625
Beniarda,0.5251706838607788,1.005530834197998,31388.0,1863.0,1862.630126953125
Bolulla,0.84210205078125,0.7096031308174133,10400.0,53.0,58.13999938964844
Carcaixent,0.9413617253303528,0.6206936240196228,1032.0,2847.0,2837.97998046875
Chella,0.9051159024238586,0.6683123707771301,315.0,6024.0,5969.83984375
Gatova,0.9311420321464539,0.6322086453437805,1447.0,3105.0,3216.5498046875
Llutxent,0.9429968595504761,0.6121084690093994,2290.0,1787.0,1894.6097412109375
Montan,0.7514572739601135,0.8465781211853027,5225.0,12059.0,12191.8798828125
ValldEbo,0.79388028383255,0.755221426486969,13026.0,1109.0,1158.52001953125
VallGallinera,0.981256365776062,0.5729732513427734,1176.0,661.0,879.699951171875
Total,0.8652033805847168,0.6934173811565746,6385.454545454545,3097.6363636363635,3121.0753714821553
