,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.7863252758979797,0.8048287630081177,2465.0,13521.0,13963.9697265625
Beneixama,0.9528380632400513,0.6106027960777283,1476.0,4167.0,4262.85009765625
Beniarda,0.5192962884902954,0.9948567748069763,31388.0,3892.0,3925.280029296875
Bolulla,0.84210205078125,0.7106596231460571,10400.0,53.0,147.1800079345703
Carcaixent,0.8792865872383118,0.7013074159622192,1032.0,6947.0,6971.0595703125
Chella,0.8161516189575195,0.7889897227287292,315.0,12144.0,12271.5
Gatova,0.7871731519699097,0.8153591156005859,1447.0,12618.0,12887.4697265625
Llutxent,0.8198761343955994,0.7714735269546509,2290.0,10058.0,10694.1904296875
Montan,0.7172704935073853,0.8940536379814148,5225.0,14279.0,14282.2890625
ValldEbo,0.7305182218551636,0.8287402987480164,13026.0,6023.0,6104.68994140625
VallGallinera,0.7706096768379211,0.8256729245185852,1176.0,15880.0,16273.9296875
Total,0.7837679602883079,0.795140418139371,6385.454545454545,9052.90909090909,9253.128025401722
