,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.32981574535369873,1.3636226654052734,2465.0,46513.0,44105.2421875
Beneixama,0.7916849851608276,0.8108305335044861,1476.0,14724.0,15545.5078125
Beniarda,0.4413238763809204,1.063929557800293,31388.0,12153.0,12258.140625
Bolulla,0.8405426144599915,0.7344173789024353,10400.0,164.0,1808.0400390625
Carcaixent,0.7954094409942627,0.8130437731742859,1032.0,12487.0,12509.08984375
Chella,0.7670971751213074,0.853828489780426,315.0,15530.0,15597.7890625
Gatova,0.7325167655944824,0.8754343390464783,1447.0,16293.0,15880.8994140625
Llutxent,0.7256430983543396,0.9112890362739563,2290.0,16232.0,18060.26953125
Montan,0.7331375479698181,0.878004789352417,5225.0,13489.0,13418.7001953125
ValldEbo,0.6665051579475403,0.9106957316398621,13026.0,11380.0,11269.4296875
VallGallinera,0.5497130751609802,1.1171281337738037,1176.0,30470.0,30924.046875
Total,0.6703081347725608,0.9392931298776106,6385.454545454545,17221.363636363636,17397.923206676136
