,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.48786506056785583,1.1628859043121338,2465.0,36020.0,34200.6171875
Beneixama,0.9361231923103333,0.6324248909950256,1476.0,5362.0,5616.89990234375
Beniarda,0.48724430799484253,0.9901061058044434,31388.0,10372.0,10417.630859375
Bolulla,0.8411331176757812,0.7348639369010925,10400.0,121.0,1890.039794921875
Carcaixent,0.8054171800613403,0.7951968908309937,1032.0,11826.0,11762.98046875
Chella,0.785356342792511,0.8328235149383545,315.0,14144.0,14558.73046875
Gatova,0.7076413035392761,0.9191144704818726,1447.0,17872.0,18049.33984375
Llutxent,0.7142575979232788,0.8988425731658936,2290.0,17240.0,17331.7109375
Montan,0.7105482220649719,0.9075064659118652,5225.0,14961.0,15130.73046875
ValldEbo,0.7062938213348389,0.8565268516540527,13026.0,8709.0,8792.1103515625
VallGallinera,0.3247286081314087,1.3785908222198486,1176.0,45330.0,44606.0625
Total,0.6824189776724036,0.9189893115650524,6385.454545454545,16541.545454545456,16577.89570756392
