,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9140335321426392,0.6403201818466187,2465.0,3803.0,3453.780029296875
Beneixama,0.9837090373039246,0.5714849829673767,1476.0,1348.0,1391.639892578125
Beniarda,0.5251706838607788,1.0046844482421875,31388.0,1949.0,1960.8800048828125
Bolulla,0.84210205078125,0.7095999717712402,10400.0,53.0,57.679996490478516
Carcaixent,0.9388484358787537,0.6245222687721252,1032.0,3013.0,3031.6201171875
Chella,0.8933216333389282,0.6828746199607849,315.0,6832.0,6735.169921875
Gatova,0.9257975220680237,0.6388393640518188,1447.0,3458.0,3561.4501953125
Llutxent,0.9362594485282898,0.6191647052764893,2290.0,2259.0,2265.719970703125
Montan,0.7542582154273987,0.8439094424247742,5225.0,11822.0,11845.599609375
ValldEbo,0.7919877767562866,0.756878674030304,13026.0,1302.0,1354.1199951171875
VallGallinera,0.9804993271827698,0.574638843536377,1176.0,729.0,974.5
Total,0.8623625148426403,0.6969925002618269,6385.454545454545,3324.3636363636365,3330.1963393471456
