,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.8095656037330627,0.7733749151229858,2465.0,11621.0,11620.419921875
Beneixama,0.9733530879020691,0.5858554840087891,1476.0,2620.0,2752.150146484375
Beniarda,0.5219458341598511,0.99472975730896,31388.0,3397.0,3439.579833984375
Bolulla,0.84210205078125,0.710292637348175,10400.0,53.0,115.64996337890625
Carcaixent,0.8928219676017761,0.683148205280304,1032.0,6053.0,6059.919921875
Chella,0.8206331729888916,0.7808288335800171,315.0,11718.0,11786.140625
Gatova,0.8021014928817749,0.790629506111145,1447.0,11628.0,11662.830078125
Llutxent,0.8331693410873413,0.7468839287757874,2290.0,9131.0,9442.9990234375
Montan,0.697194516658783,0.9168568849563599,5225.0,15612.0,15496.19921875
ValldEbo,0.75362229347229,0.8060793280601501,13026.0,4266.0,4719.8701171875
VallGallinera,0.8700510263442993,0.7269532680511475,1176.0,9312.0,11002.419921875
Total,0.8015054897828535,0.7741484316912565,6385.454545454545,7764.636363636364,8008.925342906605
