,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.7947584390640259,0.7718044519424438,2465.0,13050.0,12157.0791015625
Beneixama,0.9479023218154907,0.6170735955238342,1476.0,4197.0,4439.26025390625
Beniarda,0.516571044921875,1.0005086660385132,31388.0,3950.0,3933.5703125
Bolulla,0.8420717716217041,0.7104114890098572,10400.0,55.0,126.46998596191406
Carcaixent,0.8652515411376953,0.7196823954582214,1032.0,7874.0,7866.7294921875
Chella,0.8082786798477173,0.7996324896812439,315.0,12772.0,12810.958984375
Gatova,0.81684809923172,0.7775520086288452,1447.0,10674.0,10918.580078125
Llutxent,0.8555163741111755,0.7166596055030823,2290.0,7707.0,7494.41943359375
Montan,0.7432512044906616,0.8607919216156006,5225.0,12569.0,12508.3994140625
ValldEbo,0.7288376688957214,0.8295993804931641,13026.0,6428.0,6263.67041015625
VallGallinera,0.8130630254745483,0.7816817164421082,1176.0,13076.0,13703.009765625
Total,0.7938500155102123,0.7804907018488104,6385.454545454545,8395.636363636364,8383.831566550514
