,Accuracy,CrossEntropy,Fired,ModelFired,ExpectedFired
Artana,0.9090220928192139,0.6420055627822876,2465.0,4209.0,3645.599853515625
Beneixama,0.9827401041984558,0.5730377435684204,1476.0,1297.0,1444.0098876953125
Beniarda,0.5249738693237305,1.0042208433151245,31388.0,2031.0,2036.9500732421875
Bolulla,0.84210205078125,0.7095999717712402,10400.0,53.0,57.679996490478516
Carcaixent,0.9367590546607971,0.6269704699516296,1032.0,3151.0,3152.18017578125
Chella,0.8984239101409912,0.681690514087677,315.0,6543.0,6637.330078125
Gatova,0.926312267780304,0.6385226249694824,1447.0,3424.0,3541.639892578125
Llutxent,0.9323835372924805,0.6236056089401245,2290.0,2518.0,2512.010009765625
Montan,0.7579978704452515,0.8391746282577515,5225.0,11586.0,11566.0
ValldEbo,0.7899438142776489,0.7591618895530701,13026.0,1500.0,1570.6998291015625
VallGallinera,0.9791669845581055,0.5786027908325195,1176.0,854.0,1270.2498779296875
Total,0.8618023232980208,0.6978720589117571,6385.454545454545,3378.7272727272725,3403.122697656805
